image_id,class_id,label
car_ims/000001.jpg,112,[7]
car_ims/000002.jpg,48,[24]
car_ims/000003.jpg,7,[4]
car_ims/000004.jpg,33,[50]
car_ims/000005.jpg,5,[8]
car_ims/000006.jpg,10,[6]
car_ims/000007.jpg,56,[1]
car_ims/000008.jpg,1,[13]
car_ims/000009.jpg,15,[111]
car_ims/000010.jpg,14,[18]
car_ims/000011.jpg,5,[8]
car_ims/000012.jpg,29,[18]
car_ims/000013.jpg,1,[1]
car_ims/000014.jpg,9,[1]
car_ims/000015.jpg,4,[15]
car_ims/000016.jpg,12,[16]
car_ims/000017.jpg,1,[5]
car_ims/000018.jpg,46,[84]
car_ims/000019.jpg,86,[81]
car_ims/000020.jpg,26,[32]
car_ims/000021.jpg,50,[127]
car_ims/000022.jpg,6,[9]
car_ims/000023.jpg,52,[25]
car_ims/000024.jpg,3,[23]
car_ims/000025.jpg,60,[76]
car_ims/000026.jpg,21,[18]
car_ims/000027.jpg,11,[31]
car_ims/000028.jpg,8,[3]
car_ims/000029.jpg,30,[65]
car_ims/000030.jpg,5,[14]
car_ims/000031.jpg,125,[645]
car_ims/000032.jpg,20,[48]
car_ims/000033.jpg,51,[73]
car_ims/000034.jpg,79,[469]
car_ims/000035.jpg,18,[18]
car_ims/000036.jpg,13,[235]
car_ims/000037.jpg,6,[20]
car_ims/000038.jpg,26,[25]
car_ims/000039.jpg,61,[98]
car_ims/000040.jpg,111,[213]
car_ims/000041.jpg,178,[214]
car_ims/000042.jpg,9,[14]
car_ims/000043.jpg,28,[48]
car_ims/000044.jpg,4,[9]
car_ims/000045.jpg,6,[7]
car_ims/000046.jpg,14,[16]
car_ims/000047.jpg,10,[18]
car_ims/000048.jpg,111,[54]
car_ims/000049.jpg,9,[33]
car_ims/000050.jpg,9,[3]
car_ims/000051.jpg,15,[10]
car_ims/000052.jpg,11,[60]
car_ims/000053.jpg,92,[93]
car_ims/000054.jpg,5,[9]
car_ims/000055.jpg,8,[5]
car_ims/000056.jpg,70,[94]
car_ims/000057.jpg,87,[6]
car_ims/000058.jpg,28,[14]
car_ims/000059.jpg,11,[8]
car_ims/000060.jpg,53,[108]
car_ims/000061.jpg,31,[12]
car_ims/000062.jpg,4,[13]
car_ims/000063.jpg,8,[12]
car_ims/000064.jpg,11,[16]
car_ims/000065.jpg,28,[117]
car_ims/000066.jpg,45,[39]
car_ims/000067.jpg,3,[3]
car_ims/000068.jpg,18,[30]
car_ims/000069.jpg,24,[141]
car_ims/000070.jpg,31,[20]
car_ims/000071.jpg,17,[23]
car_ims/000072.jpg,6,[20]
car_ims/000073.jpg,111,[177]
car_ims/000074.jpg,32,[69]
car_ims/000075.jpg,2,[7]
car_ims/000076.jpg,26,[62]
car_ims/000077.jpg,46,[115]
car_ims/000078.jpg,25,[123]
car_ims/000079.jpg,20,[79]
car_ims/000080.jpg,5,[14]
car_ims/000081.jpg,62,[73]
car_ims/000082.jpg,5,[4]
car_ims/000083.jpg,67,[98]
car_ims/000084.jpg,40,[60]
car_ims/000085.jpg,12,[18]
car_ims/000086.jpg,26,[72]
car_ims/000087.jpg,24,[1]
car_ims/000088.jpg,2,[13]
car_ims/000089.jpg,11,[13]
car_ims/000090.jpg,434,[441]
car_ims/000091.jpg,104,[183]
car_ims/000092.jpg,7,[133]
car_ims/000093.jpg,8,[29]
car_ims/000094.jpg,150,[102]
car_ims/000095.jpg,139,[416]
car_ims/000096.jpg,2,[24]
car_ims/000097.jpg,115,[63]
car_ims/000098.jpg,84,[189]
car_ims/000099.jpg,13,[256]
car_ims/000100.jpg,30,[16]
car_ims/000101.jpg,32,[32]
car_ims/000102.jpg,16,[115]
car_ims/000103.jpg,34,[53]
car_ims/000104.jpg,179,[177]
car_ims/000105.jpg,68,[93]
car_ims/000106.jpg,139,[172]
car_ims/000107.jpg,60,[166]
car_ims/000108.jpg,8,[37]
car_ims/000109.jpg,36,[40]
car_ims/000110.jpg,130,[10]
car_ims/000111.jpg,23,[134]
car_ims/000112.jpg,45,[22]
car_ims/000113.jpg,10,[34]
car_ims/000114.jpg,18,[63]
car_ims/000115.jpg,56,[95]
car_ims/000116.jpg,73,[163]
car_ims/000117.jpg,97,[49]
car_ims/000118.jpg,45,[68]
car_ims/000119.jpg,20,[16]
car_ims/000120.jpg,38,[92]
car_ims/000121.jpg,18,[141]
car_ims/000122.jpg,108,[147]
car_ims/000123.jpg,85,[43]
car_ims/000124.jpg,208,[97]
car_ims/000125.jpg,24,[55]
car_ims/000126.jpg,27,[82]
car_ims/000127.jpg,97,[7]
car_ims/000128.jpg,24,[38]
car_ims/000129.jpg,30,[11]
car_ims/000130.jpg,51,[51]
car_ims/000131.jpg,186,[151]
